scr_gebaeude_id;plz;hk_geb;uk_geb;max_occupancy;wall_area_og;wall_area_ug;window_area_north;window_area_east;window_area_south;window_area_west;roof_area;net_room_area;base_area;energy_ref_area;building_height;lighting_load;lighting_control;lighting_utilisation_factor;lighting_maintenance_factor;glass_solar_transmittance;glass_solar_shading_transmittance;glass_light_transmittance;u_windows;u_walls;u_roof;u_base;temp_adj_base;temp_adj_walls_ug;ach_inf;ach_win;ach_vent;heat_recovery_efficiency;thermal_capacitance;t_start;t_set_heating;t_set_cooling;night_flushing_flow;max_cooling_energy_per_floor_area;max_heating_energy_per_floor_area;heating_supply_system;cooling_supply_system;heating_emission_system;cooling_emission_system
AB123456_0_01;3046;Gebäude für Kultur und Freizeit;Ausstellungsgebäude (Museen, Galerien);300;1540.202216032828;1004.450442270899;423.1823982221332;116.72684969971547;406.2365162516854;120.20091748662098;1617.6112329191856;3652.0;1617.6112329191856;3652.0;11.315406976744185;6.426162272727272;200;0.45;0.9;0.6700000000000002;0.45000000000000007;0.39627;1.86;0.7677419354838709;0.22340425531914893;0.3529411764705882;0.35;0.6;0.1489385096232646;0.2336060686899884;0.07612208835341368;0.6;165000;20.227272727272727;21;24;0;-inf;250000.0;DistrictHeating;AirCooledPistonScroll;AirConditioning;AirConditioning
AB123456_0_02;1589;Handelsgebäude;von Dienstleistern (z.B. Frisör, Kosmetik) genutztes Ladengebäude;14;128.90912470418206;0.0;37.45756478638532;0.0;37.45640411544316;0.0;194.6206896551724;169.32;194.6206896551724;169.32;2.9069767441860463;19.306502400000003;300;0.45;0.9;0.67;0.12;0.39626999999999996;1.58;0.8;0.5;0.8;0.35;0.0;0.4891906245298244;0.0;0.8868093754701757;0.0;165000;21.1;21;24;0;-40000.0;26000.0;GasBoilerCondensingImproved;AirCooledPistonScrollMulti;AirConditioning;AirConditioning
AB123456_0_03;15366;Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;KiTa mit Küche;260;660.7099995590349;262.0816331584172;52.87175557526335;57.25969201887762;52.82244319022751;57.28277573530985;978.6206896551724;1702.8;978.6206896551724;1702.8;6.093023255813953;10.115169999999999;300;0.45;0.9;0.6699999999999999;0.09999999999999999;0.39626999999999996;1.5407344802774392;0.24137931034482762;0.12334801762114536;0.2727272727272727;0.35;0.6;0.03702111273125523;3.2454216353603482;0.0;0.0;260000;23.0;21;24;0;0.0;115000.0;GasBoilerCondensingImproved;NoCooling;SurfaceHeatingCooling;NoCooling
AB123456_0_04;16321;Büro-, Verwaltungs- oder Amtsgebäude;Bürogebäude;25;227.92034324722837;0.0;22.797251286317227;15.18957123570082;22.797111009713817;15.189514217344255;229.5423239464942;277.9255;152.01478407052596;236.236675;6.057447694060339;27.555687348837203;500;0.45;0.9;0.67;0.44;0.39627;1.62;1.4;0.2692307692307692;1.5;0.25;0.0;0.34738225632825687;0.8321574377587535;0.0;0.0;165000;19.744186046511626;21;24;0;0.0;45400.0;WoodChipSolidFuelBoiler;NoCooling;AirConditioning;NoCooling
AB123456_0_05;14727;Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;KiTa;50;261.09717557437534;0.0;31.436294119939454;14.509331093004201;31.389809475812758;29.090871508106087;290.4821389844161;310.46;192.37227747312326;310.46;5.608139534883719;8.019281052631579;300;0.45;0.9;0.6700000000000002;0.10000000000000002;0.3962699999999999;1.4100000000000001;0.5;0.21212121212121213;0.2857142857142857;0.35;0.0;0.36783872435636455;2.9398535833359443;0.0;0.0;165000;21.542105263157893;21;24;0;0.0;25600.0;GasBoilerCondensingImproved;NoCooling;AirConditioning;NoCooling
AB123456_0_06;14727;Schule, Kindertagesstätte und sonstiges Betreuungsgebäude;Schule, allgemein;450;1669.8835911272286;0.0;440.38748841583345;500.5799968541133;661.0763769653041;508.55731353551397;1340.6896551724137;3499.2;1340.6896551724137;3499.2;10.48953488372093;8.593456799999997;300;0.45;0.9;0.6700000000000003;0.10000000000000002;0.39626999999999996;1.4400000000000002;0.32727272727272727;0.23661971830985915;0.4444444444444444;0.35;0.0;0.2144273160303622;2.645566032822315;0.0;0.0;165000;19.599999999999998;21;24;0;0.0;420000.0;DistrictHeating;NoCooling;AirConditioning;NoCooling
AB123456_0_07;14770;Gebäude für Forschung und Hochschullehre;Verwaltungs- oder Seminargebäude;573;5984.154002451991;1936.619418269253;709.4272870260437;284.4838794076889;710.6519532971365;290.1548810864611;4300.507281553399;12282.66;3426.6990291262136;12282.66;16.63099910554562;10.91003723076923;500;0.45;0.9;0.7800000000000001;0.0;0.43911;2.5999999999999996;1.7;0.1857142857142857;1.2;0.2;0.4;0.21435271440069661;0.7765679089131926;0.0;0.0;260000;21.06923076923077;21;24;0;-110000.0;576000.0;DistrictHeating;AirCooledPistonScroll;AirConditioning;AirConditioning
AB123456_0_08;14770;Gebäude für Forschung und Hochschullehre;Institutsgebäude für Forschung und Lehre (Labor mit geringen Anforderungen an die Raumlufttechnik, z.B. Medizin, Informatik);254;1850.4489059684063;0.0;560.0748854578219;364.89938425822606;560.1716091445796;365.30302710777875;1498.5185185185187;4400.025000000001;1498.5185185185187;4400.025000000001;16.35137043189369;11.936418;500;0.45;0.9;0.6700000000000002;0.1;0.39626999999999996;1.86;0.45161290322580644;0.3;0.4;0.35;0.0;0.12756496908820317;4.91011814631825;0.12243483014658718;0.0;110000;21.314285714285717;22;24;0;-7000.0;250000.0;DistrictHeating;AirCooledPistonScroll;AirConditioning;AirConditioning
AB123456_0_09;14770;Gebäude für Kultur und Freizeit;Bibliothek/Archiv (höher technisiert, z.B. Unibibliothek);291;1636.9711502604382;0.0;151.45851305980523;121.80885362604057;150.9777999806103;121.41188342035662;1295.1724137931035;2253.6;1295.1724137931035;2253.6;9.426162790697676;11.887464;500;0.45;0.9;0.6700000000000002;0.0;0.39627;1.4100000000000004;1.7;0.12682926829268293;1.2;0.25;0.0;0.1824455351377209;1.51495778318708;0.0;0.0;260000;22.000000000000004;21;24;0;-7000.0;180000.0;DistrictHeating;AirCooledPistonScroll;AirConditioning;AirConditioning
AB123456_0_10;14770;Gebäude für Forschung und Hochschullehre;Institutsgebäude für Forschung und Lehre (Labor mit geringen Anforderungen an die Raumlufttechnik, z.B. Medizin, Informatik);414;5131.846519655529;0.0;1059.5444557517465;1506.8634049080997;1058.1145598344913;1507.3240991611908;3048.058252427184;10925.46;3048.058252427184;10925.46;28.15310520487265;12.131096857142857;500;0.45;0.9;0.6699999999999999;0.09999999999999998;0.3962699999999999;1.8599999999999994;0.45161290322580644;0.3;0.4;0.35;0.0;0.059312222711437206;3.5293339656394447;0.0699200426371336;0.0;260000;22.0;22;24;0;-8000.0;200000.0;DistrictHeating;AirCooledPistonScroll;AirConditioning;AirConditioning
